,KNAPPER,MATERIAL,DATACLASS,CORE.ID,ID,EVENT,EVENT_ID,ORIGINAL.MASS,MNF,CORTEX,CORTEX_VALUE,DORSALNUM,EXTPLAT,PLATTYPE,MAXLENGTH,MAXWIDTH,MAXTHICK,LENGTH,WIDTH,THICK,PLATWID,PLATTHICK,EXTANGLE,WEIGHT,SURFACE.AREA,CORTEX.AREA
1361,SAM LIN,FLINT,COMPFLAKE,1,11,2,1-2,3350,1,50-99%,0.75,0,CORTEX,UNI,92.67,50.41,17.07,89.49,50.35,15.02,0,0,0,77.2,4505.8215,3379.366125
1362,SAM LIN,FLINT,COMPFLAKE,1,12,2,1-2,3350,1,50-99%,0.75,2,CORTEX,UNI,60.16,44.05,10.09,56.54,41.81,10.32,23.61,8.67,0,29.7,2363.9374,1772.95305
1363,SAM LIN,FLINT,COMPFLAKE,1,13,2,1-2,3350,1,50-99%,0.75,2,CORTEX,UNI,62.53,39.83,7.46,59.5,36.86,7.39,21.35,3.48,0,14.6,2193.17,1644.8775
1364,SAM LIN,FLINT,COMPFLAKE,1,14,2,1-2,3350,1,50-99%,0.75,4,CORTEX,UNI,66.72,30.73,11.22,57.14,30.94,9.65,14.95,4.67,0,23.2,1767.9116,1325.9337
1365,SAM LIN,FLINT,COMPFLAKE,1,15,2,1-2,3350,1,NONE,0,4,TRIMMED,UNI,50.36,33.7,9.52,49.15,32.57,7.15,28.94,7.63,0,13.4,1600.8155,0
1366,SAM LIN,FLINT,PROXFLAKE,1,16,2,1-2,3350,1,NONE,0,0,SCAR,UNI,50.05,35.44,9.65,0,0,0,0,0,0,15.4,1773.772,0
1367,SAM LIN,FLINT,COMPFLAKE,1,17,2,1-2,3350,1,50-99%,0.75,1,CORTEX,CORTICAL,61.4,48.1,21.33,57.59,47.44,21.4,0,0,0,47.9,2732.0696,2049.0522
1368,SAM LIN,FLINT,DISSPLIT,1,18,2,1-2,3350,NA,50-99%,0.75,0,,,62.66,47.19,18.34,0,0,0,0,0,0,41.5,2956.9254,2217.69405
1369,SAM LIN,FLINT,COMPSPLIT,1,19,2,1-2,3350,0.5,1-50%,0.25,0,SCAR,UNI,63.27,45.66,20.21,0,0,0,0,0,0,52.1,2888.9082,722.22705
1370,SAM LIN,FLINT,COMPFLAKE,1,20,2,1-2,3350,1,NONE,0,4,SCAR,UNI,40.05,21.12,5.69,33.84,19.55,3.78,0,0,0,3.8,661.572,0
1371,SAM LIN,FLINT,DISTFLAKE,1,21,2,1-2,3350,NA,1-50%,0.25,0,,,30.36,23.57,6.91,0,0,0,0,0,0,4.1,715.5852,178.8963
1372,SAM LIN,FLINT,DISTFLAKE,1,22,2,1-2,3350,NA,1-50%,0.25,0,,,34.38,19.02,7.08,0,0,0,0,0,0,4.1,653.9076,163.4769
1373,SAM LIN,FLINT,COMPFLAKE,1,23,2,1-2,3350,1,1-50%,0.25,3,CORTEX,UNI,27.94,22.05,7.03,17.16,21.18,5.21,0,0,0,3,363.4488,90.8622
1374,SAM LIN,FLINT,COMPFLAKE,1,24,2,1-2,3350,1,NONE,0,3,SCAR,UNI,30.15,21.07,1.92,28.19,17.8,1.67,0,0,0,1,501.782,0
1375,SAM LIN,FLINT,COMPFLAKE,1,25,2,1-2,3350,1,NONE,0,2,SCAR,CRUSHED,25.57,11.85,2.61,12.93,16.87,2.53,0,0,0,0.5,218.1291,0
1376,SAM LIN,FLINT,PROXFLAKE,1,26,2,1-2,3350,1,1-50%,0.25,0,SCAR,UNI,21.76,10.65,5.7,0,0,0,0,0,0,1.9,231.744,57.936
1377,SAM LIN,FLINT,ANGULARFRAG,1,27,2,1-2,3350,NA,1-50%,0.25,0,,,25.86,14.46,7.49,0,0,0,0,0,0,1.4,747.8712,186.9678
1378,SAM LIN,FLINT,COMPFLAKE,1,28,2,1-2,3350,1,NONE,0,2,N/A,CRUSHED,23.24,12.09,4.18,23.03,11.58,3,0,0,0,0.9,266.6874,0
1379,SAM LIN,FLINT,DISTFLAKE,1,29,2,1-2,3350,NA,NONE,0,0,,,25.9,16.51,1.94,0,0,0,0,0,0,0.5,427.609,0
1380,SAM LIN,FLINT,BROKEFLAKE,1,30,2,1-2,3350,NA,COMPLETE,1,0,,,22.52,14.11,4.3,0,0,0,0,0,0,0.9,317.7572,317.7572
1381,SAM LIN,FLINT,DISTFLAKE,1,31,2,1-2,3350,NA,1-50%,0.25,0,,,21.89,12.83,3.76,0,0,0,0,0,0,0.9,280.8487,70.212175
1382,SAM LIN,FLINT,DISTFLAKE,1,32,2,1-2,3350,NA,1-50%,0.25,0,,,23.98,9.7,3.7,0,0,0,0,0,0,0.7,232.606,58.1515
1383,SAM LIN,FLINT,MEDFLAKE,1,33,2,1-2,3350,NA,NONE,0,0,,,23.45,11.88,2.22,0,0,0,0,0,0,0.3,278.586,0
1384,SAM LIN,FLINT,DISTFLAKE,1,34,2,1-2,3350,NA,NONE,0,0,,,25.51,10.39,2.82,0,0,0,0,0,0,0.5,265.0489,0
1385,SAM LIN,FLINT,DISTFLAKE,1,35,2,1-2,3350,NA,NONE,0,0,,,21.43,12.42,2.73,0,0,0,0,0,0,0.4,266.1606,0
1386,SAM LIN,FLINT,BROKESPLIT,1,36,2,1-2,3350,NA,1-50%,0.25,0,,,22.51,9.87,4.14,0,0,0,0,0,0,0.5,222.1737,55.543425
1387,SAM LIN,FLINT,DISTFLAKE,1,37,2,1-2,3350,NA,1-50%,0.25,0,,,20.74,8.2,2.29,0,0,0,0,0,0,0.2,170.068,42.517
1388,SAM LIN,FLINT,PROXFLAKE,1,1,3,1-3,3350,1,1-50%,0.25,0,N/A,CRUSHED,59.5,36.93,8.75,0,0,0,0,0,0,19.5,2197.335,549.33375
1389,SAM LIN,FLINT,DISTFLAKE,1,2,3,1-3,3350,NA,50-99%,0.75,0,,,27.23,18.31,4.06,0,0,0,0,0,0,1.7,498.5813,373.935975
1390,SAM LIN,FLINT,PROXFLAKE,1,3,3,1-3,3350,1,50-99%,0.75,0,CORTEX,UNI,72.3,55.81,24.13,0,0,0,23.58,14.02,0,81.3,4035.063,3026.29725
1391,SAM LIN,FLINT,COMPFLAKE,1,4,3,1-3,3350,1,50-99%,0.75,0,CORTEX,UNI,71.46,54.61,13.29,68.08,51.53,12.81,23.73,2.38,0,44.8,3508.1624,2631.1218
1392,SAM LIN,FLINT,DISTFLAKE,1,5,3,1-3,3350,NA,50-99%,0.75,0,,,39.81,24.08,7.17,0,0,0,0,0,0,4.7,958.6248,718.9686
1393,SAM LIN,FLINT,COMPFLAKE,1,6,3,1-3,3350,1,COMPLETE,1,0,CORTEX,CORTICAL,55.96,38.29,10.46,51.22,42.7,10.07,0,0,0,19.2,2187.094,2187.094
1394,SAM LIN,FLINT,COMPFLAKE,1,7,3,1-3,3350,1,50-99%,0.75,0,N/A,N/A,59.1,51.21,11.99,49.95,44.24,9.71,0,0,0,21.9,2209.788,1657.341
1395,SAM LIN,FLINT,DISSPLIT,1,8,3,1-3,3350,NA,50-99%,0.75,0,,,50.38,12.46,9.4,0,0,0,0,0,0,4.4,627.7348,470.8011
1396,SAM LIN,FLINT,COMPFLAKE,1,9,3,1-3,3350,1,50-99%,0.75,1,CORTEX,N/A,35.92,21.34,7.56,35.79,21.35,6.79,0,0,0,5.3,764.1165,573.087375
1397,SAM LIN,FLINT,DISTFLAKE,1,10,3,1-3,3350,NA,NONE,0,0,,,20.62,13.36,2.88,0,0,0,0,0,0,0.6,275.4832,0
1398,SAM LIN,FLINT,COMPFLAKE,1,11,3,1-3,3350,1,50-99%,0.75,0,CORTEX,UNI,92.67,50.41,17.07,89.49,50.35,15.02,0,0,0,77.2,4505.8215,3379.366125
1399,SAM LIN,FLINT,COMPFLAKE,1,12,3,1-3,3350,1,50-99%,0.75,2,CORTEX,UNI,60.16,44.05,10.09,56.54,41.81,10.32,23.61,8.67,0,29.7,2363.9374,1772.95305
1400,SAM LIN,FLINT,COMPFLAKE,1,13,3,1-3,3350,1,50-99%,0.75,2,CORTEX,UNI,62.53,39.83,7.46,59.5,36.86,7.39,21.35,3.48,0,14.6,2193.17,1644.8775
1401,SAM LIN,FLINT,COMPFLAKE,1,14,3,1-3,3350,1,50-99%,0.75,4,CORTEX,UNI,66.72,30.73,11.22,57.14,30.94,9.65,14.95,4.67,0,23.2,1767.9116,1325.9337
1402,SAM LIN,FLINT,COMPFLAKE,1,15,3,1-3,3350,1,NONE,0,4,TRIMMED,UNI,50.36,33.7,9.52,49.15,32.57,7.15,28.94,7.63,0,13.4,1600.8155,0
1403,SAM LIN,FLINT,PROXFLAKE,1,16,3,1-3,3350,1,NONE,0,0,SCAR,UNI,50.05,35.44,9.65,0,0,0,0,0,0,15.4,1773.772,0
1404,SAM LIN,FLINT,COMPFLAKE,1,17,3,1-3,3350,1,50-99%,0.75,1,CORTEX,CORTICAL,61.4,48.1,21.33,57.59,47.44,21.4,0,0,0,47.9,2732.0696,2049.0522
1405,SAM LIN,FLINT,DISSPLIT,1,18,3,1-3,3350,NA,50-99%,0.75,0,,,62.66,47.19,18.34,0,0,0,0,0,0,41.5,2956.9254,2217.69405
1406,SAM LIN,FLINT,COMPSPLIT,1,19,3,1-3,3350,0.5,1-50%,0.25,0,SCAR,UNI,63.27,45.66,20.21,0,0,0,0,0,0,52.1,2888.9082,722.22705
1407,SAM LIN,FLINT,COMPFLAKE,1,20,3,1-3,3350,1,NONE,0,4,SCAR,UNI,40.05,21.12,5.69,33.84,19.55,3.78,0,0,0,3.8,661.572,0
1408,SAM LIN,FLINT,DISTFLAKE,1,21,3,1-3,3350,NA,1-50%,0.25,0,,,30.36,23.57,6.91,0,0,0,0,0,0,4.1,715.5852,178.8963
1409,SAM LIN,FLINT,DISTFLAKE,1,22,3,1-3,3350,NA,1-50%,0.25,0,,,34.38,19.02,7.08,0,0,0,0,0,0,4.1,653.9076,163.4769
1410,SAM LIN,FLINT,COMPFLAKE,1,23,3,1-3,3350,1,1-50%,0.25,3,CORTEX,UNI,27.94,22.05,7.03,17.16,21.18,5.21,0,0,0,3,363.4488,90.8622
1411,SAM LIN,FLINT,COMPFLAKE,1,24,3,1-3,3350,1,NONE,0,3,SCAR,UNI,30.15,21.07,1.92,28.19,17.8,1.67,0,0,0,1,501.782,0
1412,SAM LIN,FLINT,COMPFLAKE,1,25,3,1-3,3350,1,NONE,0,2,SCAR,CRUSHED,25.57,11.85,2.61,12.93,16.87,2.53,0,0,0,0.5,218.1291,0
1413,SAM LIN,FLINT,PROXFLAKE,1,26,3,1-3,3350,1,1-50%,0.25,0,SCAR,UNI,21.76,10.65,5.7,0,0,0,0,0,0,1.9,231.744,57.936
1414,SAM LIN,FLINT,ANGULARFRAG,1,27,3,1-3,3350,NA,1-50%,0.25,0,,,25.86,14.46,7.49,0,0,0,0,0,0,1.4,747.8712,186.9678
1415,SAM LIN,FLINT,COMPFLAKE,1,28,3,1-3,3350,1,NONE,0,2,N/A,CRUSHED,23.24,12.09,4.18,23.03,11.58,3,0,0,0,0.9,266.6874,0
1416,SAM LIN,FLINT,DISTFLAKE,1,29,3,1-3,3350,NA,NONE,0,0,,,25.9,16.51,1.94,0,0,0,0,0,0,0.5,427.609,0
1417,SAM LIN,FLINT,BROKEFLAKE,1,30,3,1-3,3350,NA,COMPLETE,1,0,,,22.52,14.11,4.3,0,0,0,0,0,0,0.9,317.7572,317.7572
1418,SAM LIN,FLINT,DISTFLAKE,1,31,3,1-3,3350,NA,1-50%,0.25,0,,,21.89,12.83,3.76,0,0,0,0,0,0,0.9,280.8487,70.212175
1419,SAM LIN,FLINT,DISTFLAKE,1,32,3,1-3,3350,NA,1-50%,0.25,0,,,23.98,9.7,3.7,0,0,0,0,0,0,0.7,232.606,58.1515
1420,SAM LIN,FLINT,MEDFLAKE,1,33,3,1-3,3350,NA,NONE,0,0,,,23.45,11.88,2.22,0,0,0,0,0,0,0.3,278.586,0
1421,SAM LIN,FLINT,DISTFLAKE,1,34,3,1-3,3350,NA,NONE,0,0,,,25.51,10.39,2.82,0,0,0,0,0,0,0.5,265.0489,0
1422,SAM LIN,FLINT,DISTFLAKE,1,35,3,1-3,3350,NA,NONE,0,0,,,21.43,12.42,2.73,0,0,0,0,0,0,0.4,266.1606,0
1423,SAM LIN,FLINT,BROKESPLIT,1,36,3,1-3,3350,NA,1-50%,0.25,0,,,22.51,9.87,4.14,0,0,0,0,0,0,0.5,222.1737,55.543425
1424,SAM LIN,FLINT,DISTFLAKE,1,37,3,1-3,3350,NA,1-50%,0.25,0,,,20.74,8.2,2.29,0,0,0,0,0,0,0.2,170.068,42.517
1425,SAM LIN,FLINT,CORE,1,0,3,1-3,3350,NA,50-99%,0.75,0,,,210.66,108.95,96.92,0,0,0,0,0,0,2460,45902.814,34427.1105
1426,SAM LIN,FLINT,COMPFLAKE,1,38,3,1-3,3350,1,50-99%,0.75,3,N/A,CRUSHED,98.01,56.63,17.98,97.57,55.67,13.92,0,0,0,89,5431.7219,4073.791425
1427,SAM LIN,FLINT,COMPFLAKE,1,39,3,1-3,3350,1,1-50%,0.25,2,CORTEX,UNI,82.52,51.45,16.17,78.12,51.89,16.78,13.53,3.96,0,55.9,4053.6468,1013.4117
1428,SAM LIN,FLINT,COMPFLAKE,1,40,3,1-3,3350,1,1-50%,0.25,5,SCAR,TRIMMED,74.65,48.41,10.17,73.37,48.82,7.45,42.62,6.24,0,38.1,3581.9234,895.48085
1429,SAM LIN,FLINT,COMPFLAKE,1,41,3,1-3,3350,1,NONE,0,3,SCAR,UNI,48.34,39.97,12.57,45.23,34.94,8.86,37.84,10.15,77,21.1,1580.3362,0
1430,SAM LIN,FLINT,DISTFLAKE,1,42,3,1-3,3350,NA,50-99%,0.75,0,,,49.33,46.64,11.61,0,0,0,0,0,0,20.8,2300.7512,1725.5634
1431,SAM LIN,FLINT,PROXFLAKE,1,43,3,1-3,3350,1,1-50%,0.25,0,SCAR,UNI,46.34,28.9,8.37,0,0,0,18.99,3.64,0,10,1339.226,334.8065
1432,SAM LIN,FLINT,COMPFLAKE,1,44,3,1-3,3350,1,NONE,0,2,SCAR,UNI,51.2,43.84,8.22,34.74,34.41,6.93,0,0,0,9.3,1195.4034,0
1433,SAM LIN,FLINT,COMPFLAKE,1,45,3,1-3,3350,1,COMPLETE,1,0,CORTEX,CORTICAL,51.6,39.98,9.37,50.58,41.35,7.87,0,0,0,16.2,2091.483,2091.483
1434,SAM LIN,FLINT,PROXFLAKE,1,46,3,1-3,3350,1,50-99%,0.75,0,SCAR,N/A,57.87,43.51,9.09,0,0,0,0,0,0,19.9,2517.9237,1888.442775
1435,SAM LIN,FLINT,PROXFLAKE,1,47,3,1-3,3350,1,1-50%,0.25,1,SCAR,UNI,36.85,18.64,3.72,0,0,0,0,0,0,2.3,686.884,171.721
1436,SAM LIN,FLINT,DISTFLAKE,1,48,3,1-3,3350,NA,1-50%,0.25,0,,,35.43,15.41,8.17,0,0,0,0,0,0,4,545.9763,136.494075
1437,SAM LIN,FLINT,COMPFLAKE,1,49,3,1-3,3350,1,1-50%,0.25,1,CORTEX,CORTICAL,39.1,20.92,3.41,20.08,22.81,3.12,0,0,95,2.6,458.0248,114.5062
1438,SAM LIN,FLINT,COMPFLAKE,1,50,3,1-3,3350,1,NONE,0,2,N/A,N/A,31.73,17.2,4.12,16.8,24.59,4.3,0,0,0,1.8,413.112,0
1439,SAM LIN,FLINT,BROKESPLIT,1,51,3,1-3,3350,NA,50-99%,0.75,0,,,27.29,18.81,4.33,0,0,0,0,0,0,1.9,513.3249,384.993675
1440,SAM LIN,FLINT,DISTFLAKE,1,52,3,1-3,3350,NA,1-50%,0.25,0,,,28.09,15.74,4.57,0,0,0,0,0,0,2,442.1366,110.53415
1441,SAM LIN,FLINT,BROKESPLIT,1,53,3,1-3,3350,NA,1-50%,0.25,0,,,28.98,13.37,2.61,0,0,0,0,0,0,0.9,387.4626,96.86565
1442,SAM LIN,FLINT,MEDFLAKE,1,54,3,1-3,3350,NA,1-50%,0.25,0,,,24.8,17.02,5.46,0,0,0,0,0,0,1.9,422.096,105.524
1443,SAM LIN,FLINT,COMPFLAKE,1,55,3,1-3,3350,1,NONE,0,1,SCAR,UNI,23.66,12.94,3.48,12.15,18.99,3.28,16.06,2.88,0,1,230.7285,0
1444,SAM LIN,FLINT,DISTFLAKE,1,56,3,1-3,3350,NA,1-50%,0.25,0,,,26.4,15.68,3.59,0,0,0,0,0,0,1.2,413.952,103.488
1445,SAM LIN,FLINT,DISTFLAKE,1,57,3,1-3,3350,NA,1-50%,0.25,0,,,23.04,10.89,3.01,0,0,0,0,0,0,0.5,250.9056,62.7264
1446,SAM LIN,FLINT,ANGULARFRAG,1,58,3,1-3,3350,NA,NONE,0,0,,,34.03,4.68,2.74,0,0,0,0,0,0,0.3,318.5208,0
1447,SAM LIN,FLINT,DISTFLAKE,1,59,3,1-3,3350,NA,1-50%,0.25,0,,,23.76,9.14,3.42,0,0,0,0,0,0,0.5,217.1664,54.2916
1448,SAM LIN,FLINT,PROXFLAKE,1,1,4,1-4,3350,1,1-50%,0.25,0,N/A,CRUSHED,59.5,36.93,8.75,0,0,0,0,0,0,19.5,2197.335,549.33375
1449,SAM LIN,FLINT,DISTFLAKE,1,2,4,1-4,3350,NA,50-99%,0.75,0,,,27.23,18.31,4.06,0,0,0,0,0,0,1.7,498.5813,373.935975
1450,SAM LIN,FLINT,PROXFLAKE,1,3,4,1-4,3350,1,50-99%,0.75,0,CORTEX,UNI,72.3,55.81,24.13,0,0,0,23.58,14.02,0,81.3,4035.063,3026.29725
1451,SAM LIN,FLINT,COMPFLAKE,1,4,4,1-4,3350,1,50-99%,0.75,0,CORTEX,UNI,71.46,54.61,13.29,68.08,51.53,12.81,23.73,2.38,0,44.8,3508.1624,2631.1218
1452,SAM LIN,FLINT,DISTFLAKE,1,5,4,1-4,3350,NA,50-99%,0.75,0,,,39.81,24.08,7.17,0,0,0,0,0,0,4.7,958.6248,718.9686
1453,SAM LIN,FLINT,COMPFLAKE,1,6,4,1-4,3350,1,COMPLETE,1,0,CORTEX,CORTICAL,55.96,38.29,10.46,51.22,42.7,10.07,0,0,0,19.2,2187.094,2187.094
1454,SAM LIN,FLINT,COMPFLAKE,1,7,4,1-4,3350,1,50-99%,0.75,0,N/A,N/A,59.1,51.21,11.99,49.95,44.24,9.71,0,0,0,21.9,2209.788,1657.341
1455,SAM LIN,FLINT,DISSPLIT,1,8,4,1-4,3350,NA,50-99%,0.75,0,,,50.38,12.46,9.4,0,0,0,0,0,0,4.4,627.7348,470.8011
1456,SAM LIN,FLINT,COMPFLAKE,1,9,4,1-4,3350,1,50-99%,0.75,1,CORTEX,N/A,35.92,21.34,7.56,35.79,21.35,6.79,0,0,0,5.3,764.1165,573.087375
1457,SAM LIN,FLINT,DISTFLAKE,1,10,4,1-4,3350,NA,NONE,0,0,,,20.62,13.36,2.88,0,0,0,0,0,0,0.6,275.4832,0
1458,SAM LIN,FLINT,COMPFLAKE,1,11,4,1-4,3350,1,50-99%,0.75,0,CORTEX,UNI,92.67,50.41,17.07,89.49,50.35,15.02,0,0,0,77.2,4505.8215,3379.366125
1459,SAM LIN,FLINT,COMPFLAKE,1,12,4,1-4,3350,1,50-99%,0.75,2,CORTEX,UNI,60.16,44.05,10.09,56.54,41.81,10.32,23.61,8.67,0,29.7,2363.9374,1772.95305
1460,SAM LIN,FLINT,COMPFLAKE,1,13,4,1-4,3350,1,50-99%,0.75,2,CORTEX,UNI,62.53,39.83,7.46,59.5,36.86,7.39,21.35,3.48,0,14.6,2193.17,1644.8775
1461,SAM LIN,FLINT,COMPFLAKE,1,14,4,1-4,3350,1,50-99%,0.75,4,CORTEX,UNI,66.72,30.73,11.22,57.14,30.94,9.65,14.95,4.67,0,23.2,1767.9116,1325.9337
1462,SAM LIN,FLINT,COMPFLAKE,1,15,4,1-4,3350,1,NONE,0,4,TRIMMED,UNI,50.36,33.7,9.52,49.15,32.57,7.15,28.94,7.63,0,13.4,1600.8155,0
1463,SAM LIN,FLINT,PROXFLAKE,1,16,4,1-4,3350,1,NONE,0,0,SCAR,UNI,50.05,35.44,9.65,0,0,0,0,0,0,15.4,1773.772,0
1464,SAM LIN,FLINT,COMPFLAKE,1,17,4,1-4,3350,1,50-99%,0.75,1,CORTEX,CORTICAL,61.4,48.1,21.33,57.59,47.44,21.4,0,0,0,47.9,2732.0696,2049.0522
1465,SAM LIN,FLINT,DISSPLIT,1,18,4,1-4,3350,NA,50-99%,0.75,0,,,62.66,47.19,18.34,0,0,0,0,0,0,41.5,2956.9254,2217.69405
1466,SAM LIN,FLINT,COMPSPLIT,1,19,4,1-4,3350,0.5,1-50%,0.25,0,SCAR,UNI,63.27,45.66,20.21,0,0,0,0,0,0,52.1,2888.9082,722.22705
1467,SAM LIN,FLINT,COMPFLAKE,1,20,4,1-4,3350,1,NONE,0,4,SCAR,UNI,40.05,21.12,5.69,33.84,19.55,3.78,0,0,0,3.8,661.572,0
1468,SAM LIN,FLINT,DISTFLAKE,1,21,4,1-4,3350,NA,1-50%,0.25,0,,,30.36,23.57,6.91,0,0,0,0,0,0,4.1,715.5852,178.8963
1469,SAM LIN,FLINT,DISTFLAKE,1,22,4,1-4,3350,NA,1-50%,0.25,0,,,34.38,19.02,7.08,0,0,0,0,0,0,4.1,653.9076,163.4769
1470,SAM LIN,FLINT,COMPFLAKE,1,23,4,1-4,3350,1,1-50%,0.25,3,CORTEX,UNI,27.94,22.05,7.03,17.16,21.18,5.21,0,0,0,3,363.4488,90.8622
1471,SAM LIN,FLINT,COMPFLAKE,1,24,4,1-4,3350,1,NONE,0,3,SCAR,UNI,30.15,21.07,1.92,28.19,17.8,1.67,0,0,0,1,501.782,0
1472,SAM LIN,FLINT,COMPFLAKE,1,25,4,1-4,3350,1,NONE,0,2,SCAR,CRUSHED,25.57,11.85,2.61,12.93,16.87,2.53,0,0,0,0.5,218.1291,0
1473,SAM LIN,FLINT,PROXFLAKE,1,26,4,1-4,3350,1,1-50%,0.25,0,SCAR,UNI,21.76,10.65,5.7,0,0,0,0,0,0,1.9,231.744,57.936
1474,SAM LIN,FLINT,ANGULARFRAG,1,27,4,1-4,3350,NA,1-50%,0.25,0,,,25.86,14.46,7.49,0,0,0,0,0,0,1.4,747.8712,186.9678
1475,SAM LIN,FLINT,COMPFLAKE,1,28,4,1-4,3350,1,NONE,0,2,N/A,CRUSHED,23.24,12.09,4.18,23.03,11.58,3,0,0,0,0.9,266.6874,0
1476,SAM LIN,FLINT,DISTFLAKE,1,29,4,1-4,3350,NA,NONE,0,0,,,25.9,16.51,1.94,0,0,0,0,0,0,0.5,427.609,0
1477,SAM LIN,FLINT,BROKEFLAKE,1,30,4,1-4,3350,NA,COMPLETE,1,0,,,22.52,14.11,4.3,0,0,0,0,0,0,0.9,317.7572,317.7572
1478,SAM LIN,FLINT,DISTFLAKE,1,31,4,1-4,3350,NA,1-50%,0.25,0,,,21.89,12.83,3.76,0,0,0,0,0,0,0.9,280.8487,70.212175
